symbol,direction,ob_size_pct,atr_pct,rsi,price_vs_ema,candle_body_pct,upper_wick_pct,lower_wick_pct,distance_to_ob_pct,hour_of_day,label
R_75,SELL,0.004188515781339154,0.0033200530087060228,62.702831403895026,0.008516911424543316,0.0033841083129854234,0.000804394710960252,0.0,1.3422996783285346e-08,14,1
R_75,SELL,0.002792364531153924,0.0038052589981693087,65.7553931951891,0.008402901680062549,0.0009025975961822655,0.000378536593604669,0.0015112536334494506,0.0015112461709376095,14,1
R_75,SELL,0.002825270865893818,0.0032656437588063155,66.23274406862274,0.011597609020655751,6.471019744569676e-05,0.002282434770531085,0.0004781302495527023,0.0005428600293592294,12,1
R_75,SELL,0.00307333891558899,0.0029609643003083775,67.44606665428724,0.010637752922297768,0.0012370518403502094,0.0012451409047768297,0.0005911876558066731,0.0005911788733938536,11,1
R_75,SELL,0.0030781385146214963,0.0032036793591570583,56.524922647963805,0.0008013016820202788,0.0015858436941287037,0.00125758410799384,0.00023470739534783473,0.0018205879335476912,22,1
R_75,BUY,0.003628108298916552,0.003268298744916147,50.0011483111328,0.00295253722933997,0.0009966788955788155,0.0003963345933957481,0.0022351019061872487,0.0003963033943866576,5,1
R_75,SELL,0.003961917502806666,0.0033940528280235736,67.54910910041488,0.010066584592166448,0.002686682017471198,0.0012752231041085356,0.0,0.002686682858913778,9,1
R_75,SELL,0.0038864769696531133,0.0033224427125696466,60.45394599233661,0.00734371268955628,0.001511377093295479,0.0009107501867843685,0.0014643291669226462,0.001464331419408656,6,1
R_75,SELL,0.002805236901112148,0.003175811677853311,57.079084874608554,0.003808835234841778,0.0003820936927179626,0.0022844796653906964,0.0001386785811284745,0.0005207848056172825,8,1
R_75,SELL,0.004258398187939347,0.003053586670585804,46.705149983042425,-0.0026476397036445734,0.003164606903467516,0.0009006596381817802,0.00019316846336986553,0.0033577762524715712,10,1
R_75,SELL,0.003858584405070194,0.0033856153287247425,45.17332215829391,-0.004901543463884298,0.0011728283565858861,0.0025348895956555763,0.00015087232601008815,0.00015087947597006542,12,1
R_75,SELL,0.0033311004241464177,0.0032776256757564826,57.2472005016952,0.003416919402347238,0.0003366499901547928,0.0029944669497641917,0.0,0.0003366200469247814,10,1
R_75,BUY,0.0023922963721122958,0.003505264959333987,32.48253629265584,-0.011706279943455295,0.0008229260107950592,0.00045174964126139353,0.0011176072896201116,0.00045177358247293684,8,1
R_75,SELL,0.0023679378676363287,0.0035472136229334115,55.07089274108775,0.001914826806100745,0.00081847440861077,0.0009918923539168928,0.000557628784205725,0.0013760839664508084,20,1
R_75,SELL,0.0031817604011970565,0.0035113676903176707,60.19383188250202,0.00411389622757928,0.0010214614978427147,0.0014783835328379736,0.0006819810827758621,0.0006819466222067029,15,1
R_75,SELL,0.0016720266472798095,0.0028699569800215868,60.37359485945341,0.0023674506408189306,0.0005685468230897962,0.0003682782699499083,0.0007352841943321665,0.0013037903352497015,22,1
R_75,BUY,0.003960249469456659,0.0033712327939607275,49.12302777440715,-0.001365865399953277,0.0021057049652214734,0.0003208985229499307,0.0015336878223108225,0.00032087738676170574,2,1
R_75,SELL,0.00497340490968981,0.0033734187908203536,62.10294006653338,0.0048063401582450595,0.0026784977562385195,0.0022948836052170186,0.0,0.0026784939028911656,3,1
R_75,SELL,0.0037750279332372226,0.0036239427091428957,53.039055393975445,0.0025626825235741716,0.0013647355733935266,0.0012987556606247224,0.0011114602803055835,0.001111491555999797,22,1
R_75,SELL,0.004623885615131017,0.003607689353997139,62.692147819624594,0.0031634553144660863,0.0027243564626060297,0.0018159321043934558,8.364327277927746e-05,0.002807987913999947,1,1
